Gene,log2FoldChange,padj
PROX1,-1.071632639,1.31704590719073e-08
ANKS3,0.532098295,1.31899261700482e-08
AC004908.1,-0.666523215,1.32111409326812e-08
RAB42,0.726992233,1.33745308757607e-08
AKAP7,-0.482138107,1.33803479320258e-08
GIMAP4,-0.659141913,1.34624901087567e-08
AGPAT1,0.33857419,1.35468513696293e-08
ANAPC15,0.379081442,1.35998770046679e-08
ADAMTSL4-AS2,-0.91814507,1.36203413758601e-08
WDR33,0.239992751,1.36872251980376e-08
SLC22A1,0.923090848,1.37444442527406e-08
RAB23,0.646239962,1.37672777032619e-08
NDUFA12,0.477219873,1.39078656020826e-08
N4BP1,-0.238931462,1.40507984270247e-08
NOTCH1,0.544869664,1.40523376868753e-08
RHOXF1-AS1,-1.448830286,1.40742305494072e-08
ENPEP,-0.73610053,1.43971183656551e-08
HLA-V,1.255104486,1.44787062501587e-08
CHRNA10,0.536615296,1.45207754383132e-08
SNAPC2,0.457820796,1.45555823381093e-08
RSPH4A,-0.725736614,1.4609177019537e-08
AC079148.1,-0.590101792,1.46398900421685e-08
ASB13,0.510751963,1.46753006241939e-08
WNK3,0.848423548,1.46857176518913e-08
ZNF362,0.335253775,1.47725645158355e-08
DLG4,-0.464262875,1.47729839938258e-08
ACSM3,-1.01149584,1.47934147938382e-08
TCHH,0.97771952,1.4858185033778e-08
PARGP1,-0.604834787,1.49102746341755e-08
MIATNB,-0.610185721,1.50305704120502e-08
MMP24,-0.889768312,1.5070427202482e-08
ZNF329,-0.411999479,1.52301596135932e-08
SLC35C1,0.563924402,1.54083616369771e-08
RHBDF1,0.465650421,1.55112782158207e-08
C1QL2,1.590346146,1.56173517808386e-08
FAM184B,-0.938728554,1.58587887056302e-08
ZNF445,-0.355084645,1.58914367663253e-08
NME3,0.737716505,1.59750686238626e-08
FAT2,-1.136188744,1.60292188137328e-08
SOCS5,-0.402238337,1.60598231803498e-08
SCO1,-0.296479243,1.61170346848001e-08
UVRAG,-0.44877744,1.61248930080452e-08
NOP14-AS1,-0.368749662,1.6276511118623e-08
COL1A2,0.893651501,1.63095333634045e-08
RENBP,0.883097091,1.63098046453198e-08
NDUFAF5,0.357227562,1.63980300219262e-08
LZTR1,0.563030356,1.6444349685978e-08
AC011815.1,-0.573021314,1.65350453589777e-08
DECR2,0.583946903,1.65426050751172e-08
JKAMP,-0.334758515,1.65428643775755e-08
ATP6V0E2,0.653594845,1.65982857161315e-08
AMZ2,0.396259451,1.66149717296621e-08
PACRGL,-0.363638817,1.68899169709619e-08
ANAPC5,0.282295104,1.70554818666843e-08
AC007906.2,-1.289531974,1.72059425906292e-08
MAPKAPK5,0.247763196,1.72359428412133e-08
MYO1D,0.461072837,1.72966921446909e-08
TNRC6C,-0.531340882,1.73692142164602e-08
APOE,1.070245146,1.74125006513276e-08
TWIST1,-0.990920285,1.75170987332767e-08
GABPB1-AS1,-0.650802183,1.75170987332767e-08
SERPINA5,-1.359876075,1.76100045568016e-08
FRMPD3,1.166273169,1.76360152735538e-08
PIPSL,0.550415771,1.77472135220198e-08
ELP3,-0.339023826,1.78013346497577e-08
AL133367.1,-0.53491727,1.78013346497577e-08
EEF2,-0.446444031,1.79488923401144e-08
CEACAM1,0.95131884,1.80223453735176e-08
TEX52,-0.859437804,1.81192672321516e-08
AQP4,-1.222039847,1.8207183601812e-08
SMIM12,0.352872905,1.82465451271618e-08
AC008972.2,0.55400281,1.83007193802975e-08
AC005696.4,1.231851752,1.85306970766107e-08
AVL9,0.405294072,1.8632918512718e-08
AC135050.6,-0.388368815,1.87682381828102e-08
HEXIM1,-0.389990816,1.88898141410974e-08
RAB34,0.577519908,1.89178498892992e-08
MNDA,0.758091034,1.89381351599678e-08
ITGAE,0.427029509,1.92814375638065e-08
CNPPD1,0.348584694,1.94337704493452e-08
USP47,-0.41074748,1.94814769423014e-08
PCBD2,-0.382759377,1.94823594415223e-08
PCDHB10,0.578217924,1.95863315426477e-08
FOXN1,-1.385511518,1.9641374828038e-08
TNK2,0.493623103,1.96738552622813e-08
ZNF134,-0.401926552,1.98286835901487e-08
FAR2P2,-1.042602482,1.9830489496998e-08
C11orf54,-0.398417387,1.99006431424053e-08
APOL2,0.510238772,2.00583549634435e-08
APBB3,-0.467934791,2.01150696312017e-08
NLRC3,0.667314551,2.01754136021556e-08
LAMTOR4,0.554613162,2.01806799427378e-08
SCARB2,-0.351017121,2.03962842202842e-08
CNOT8,-0.269698035,2.04541707711312e-08
JPH4,-0.964117585,2.06727444060007e-08
CFAP44,-0.615802462,2.06727444060007e-08
MPZL2,0.659575164,2.071995765169e-08
SLC25A48,-1.243497817,2.07885759596727e-08
DTD2,-0.470880657,2.0798677906061e-08
SLC6A12,0.982651468,2.08598298720565e-08
AC004938.2,0.596373096,2.10390300825184e-08
MYL5,-0.557194178,2.10497618576225e-08
GJC1,0.81210573,2.10554134669137e-08
SNRNP200,0.334338002,2.10889382357703e-08
AL683813.1,-0.550271706,2.13286325673853e-08
CAPN7,-0.400378599,2.14190398688138e-08
KRT8,0.921402469,2.14298911913275e-08
PICK1,0.474748242,2.14737495389079e-08
MSX1,-0.981973418,2.15318307796428e-08
TUBBP5,1.154954572,2.16487623963001e-08
ZNF596,-0.58357691,2.18344451226456e-08
ERP29,0.454860667,2.19566628652353e-08
KCTD6,-0.420477544,2.21611918611979e-08
CCDC9,0.518955452,2.22883967009795e-08
SMG7-AS1,0.644640104,2.25191322437378e-08
TMEM102,0.603472567,2.25469910931909e-08
FKBP1B,-0.62071044,2.25506563556139e-08
TP53I3,0.561010128,2.27134923825819e-08
AL031118.1,-0.689360957,2.27843526458414e-08
IGHV4-39,1.410061343,2.29057935160263e-08
CDC73,0.381330808,2.2916644681605e-08
TIAM2,0.616730076,2.29189555945393e-08
AC008393.1,-0.531604091,2.29621537434729e-08
FBXO15,-0.795599069,2.35566351552284e-08
TDRD1,1.811011648,2.38420528991585e-08
CCDC12,0.515423837,2.39696696402145e-08
CCNJL,0.788532782,2.40488317827482e-08
PDLIM2,0.600488826,2.42295756433632e-08
SENP8,-0.418691647,2.43682547001632e-08
RTN4RL1,-0.983089428,2.45611017650103e-08
EAF1,0.336814654,2.46953123622188e-08
ZNF155,-0.514082372,2.46985274099792e-08
AC005082.1,1.025123142,2.46985274099792e-08
ST13P6,-0.614288521,2.47436651010015e-08
CDK14,-0.481257499,2.47894563610325e-08
ARFGEF1,0.443169551,2.49149876502914e-08
ZSCAN5A,0.441090906,2.49361489434167e-08
SCYL2,0.380369804,2.50330814873632e-08
CNPY4,0.414819015,2.51116922285775e-08
SYT2,-0.715430516,2.54804987655999e-08
MMP25-AS1,0.516658718,2.54882359119867e-08
AC007390.1,-0.557623919,2.55591139930872e-08
NAV2,-0.774174011,2.57129323357607e-08
MGST1,-0.855741887,2.57326150894462e-08
SGSM2,-0.501521731,2.60251873536884e-08
ZBTB14,-0.292734894,2.60274567911748e-08
WIPI2,0.327512216,2.60491878562795e-08
NUDT11,0.989481049,2.60818352126345e-08
PDXK,0.61962495,2.61045708698353e-08
TMEM267,0.432407459,2.61966328725719e-08
TNS4,-1.396782764,2.64565974098478e-08
PLCB2,0.616270235,2.64962266390345e-08
VILL,-0.56192129,2.65140202485995e-08
HIPK1,-0.415528323,2.6571901151369e-08
JAKMIP3,-0.928922344,2.6594399330777e-08
AL162253.2,0.578643168,2.67768350802595e-08
FAM30A,1.409342223,2.69055696720823e-08
DGCR8,0.265690125,2.69087736218446e-08
AL117339.4,-0.950213674,2.70018840226636e-08
GABPA,-0.359688271,2.70600019365806e-08
IP6K1,-0.24152651,2.70740031620458e-08
KRT79,1.927492956,2.71417429105179e-08
PIK3CD,0.615224651,2.71704272665257e-08
TTC25,-0.665495972,2.74285424630015e-08
SETD3,-0.347810714,2.75279462215022e-08
AC073210.3,1.107560039,2.77104801091385e-08
WNT2,0.915403945,2.77527847076291e-08
C6orf141,0.896550533,2.78611992652348e-08
C2orf68,0.315645795,2.79384466646912e-08
ZNF835,-0.90598824,2.81444010164318e-08
IBA57,0.473970606,2.82768708930781e-08
LRCH4,0.359321376,2.82871274971973e-08
PCDHGB3,-0.741626131,2.83129765761793e-08
IGHV3-66,1.448994329,2.83975226685672e-08
AP000695.1,0.925098221,2.84640778430774e-08
CYP11A1,-0.941860012,2.87697674927157e-08
AL354892.3,-0.540805567,2.88211472032647e-08
AC004980.1,0.468691986,2.8917869486838e-08
ERCC3,0.302065719,2.90615434960843e-08
EYA3,0.335063308,2.90652433392946e-08
GRHL2,0.891375598,2.91429155196179e-08
MEAF6,0.322110508,2.91497321369032e-08
LINC00662,0.564544735,2.93456917270808e-08
BMP2K,-0.530372575,2.95975503842936e-08
TPRG1L,-0.399715262,2.96275548465654e-08
CEP41,0.346367583,2.96588396385367e-08
TRAFD1,0.324035616,2.9686848841378e-08
AC241952.1,-0.671444098,2.9686848841378e-08
DMKN,1.243095749,2.98656872340542e-08
C11orf49,0.409752761,2.99915556411823e-08
HOXB4,-0.823193545,3.00408984676055e-08
CACNB2,-0.624897485,3.00641289050198e-08
BAIAP2,0.565211437,3.0180080503581e-08
SEPTIN1,0.708959851,3.03632769517038e-08
PRKACB,-0.420556073,3.03928170097872e-08
NUP35,0.375728301,3.07204970631309e-08
RNASE7,-1.519106232,3.09189632678191e-08
AC079848.1,-0.547218126,3.11097139197141e-08
HNRNPA1,0.342022469,3.16068689135028e-08
CYSLTR1,-0.770531071,3.16068689135028e-08
ZNF28,0.418616049,3.18567392757324e-08
TBCEL,-0.322484978,3.18992633112096e-08
WDFY4,0.847769095,3.20198727503553e-08
SHROOM1,-0.692539048,3.20219276520815e-08
SELENOF,0.294954858,3.20219276520815e-08
SLC27A3,-0.558722858,3.20933418792911e-08
THOC2,0.349668803,3.20978789572794e-08
GSE1,-0.488457589,3.23217208496052e-08
PNMT,-1.296927708,3.26573503152431e-08
FBLN7,-0.730048088,3.26945904987132e-08
FBXO28,0.370075206,3.27745336574532e-08
SDK1,-0.765123542,3.28002124093342e-08
BX539320.1,0.996012297,3.29470422752761e-08
RAB3IP,0.629665755,3.30019539887538e-08
CASC3,-0.314824675,3.3044749684894e-08
ZNF287,-0.428012818,3.30888178946626e-08
USP13,0.497089438,3.31065487654286e-08
NWD1,1.137324652,3.32312318726604e-08
PCDH12,-0.640337815,3.3242434492241e-08
AC009120.3,-0.712521197,3.33641391783836e-08
ST8SIA4,0.597947266,3.33946928997435e-08
AC004241.3,0.656966922,3.35045278455395e-08
AMPH,-1.103685731,3.35917208645918e-08
ARFRP1,0.55072933,3.36096462727837e-08
GHDC,-0.473461681,3.37135797618716e-08
HOPX,0.776877088,3.37811737464733e-08
NT5C,0.649488355,3.37975773798391e-08
GFPT1,0.434229751,3.38412280516478e-08
UBA3,0.277714746,3.38723145186938e-08
KCNA6,-1.312469205,3.40503991446439e-08
AL121612.2,-1.003776043,3.41053379810702e-08
FAM3B,-1.35365591,3.41455086865459e-08
G2E3,0.410158314,3.4349275000567e-08
LINC00265,-0.491202251,3.44632081644519e-08
PLA2G2A,-1.763005267,3.47028455223021e-08
ANKRD33B,-0.892967256,3.48402359953263e-08
GPAT4,0.447113256,3.4878385558429e-08
ANKZF1,0.34197459,3.49674101933753e-08
DUSP7,0.455742243,3.50345388854256e-08
AC008014.1,-0.599598517,3.51059686771862e-08
VCAM1,0.778679082,3.52062749057781e-08
CH25H,-1.002832674,3.54373328559617e-08
AC016821.1,-0.891952874,3.57613978194258e-08
AL512625.3,0.596609299,3.60597957296331e-08
AL158801.4,0.533807748,3.66111795687125e-08
AC244669.1,-0.710290455,3.67106227301927e-08
BPIFB2,-2.062771899,3.67532945260954e-08
AC079140.6,-0.732716828,3.68285855485384e-08
CPLX1,-0.753379416,3.72036160232466e-08
AC131649.2,-0.875330656,3.72483334532727e-08
SPATA20,-0.543208628,3.73616125722014e-08
AC127521.1,-1.161605506,3.75256637773742e-08
C1orf56,0.429800305,3.76486683864012e-08
METTL5,0.418673001,3.82185214720317e-08
AC020910.5,0.528669729,3.83754117579543e-08
AC005332.3,-0.477854059,3.83754117579543e-08
RALGAPA1P1,-0.506340896,3.84192374059375e-08
FLNB-AS1,-0.761942903,3.85758665921699e-08
GJA4,-0.782411298,3.87060828198381e-08
RPL9,-0.500680838,3.88871431658949e-08
ZNF589,-0.32213228,3.92654951808503e-08
SIGLEC6,-1.079026131,3.96510291579456e-08
ZNF75A,0.323372788,3.97013645305335e-08
DCAF4L1,0.657877085,3.97251654477889e-08
MTA3,0.339617205,3.9914891242063e-08
CDPF1,0.435152487,4.00268849908088e-08
MTERF1,0.349874212,4.0344567612039e-08
MAP2K7,0.356147572,4.04100205145211e-08
TPST2,-0.548575666,4.04220001244694e-08
LINC00954,0.887448762,4.04280034674791e-08
ACTR3C,0.51623218,4.05246453959476e-08
SVIP,0.547305383,4.05791962445943e-08
NDUFB10,0.579365075,4.06725553346368e-08
UBE2D1,0.532584838,4.08427839807115e-08
DBIL5P,0.641171214,4.09317896848305e-08
EEF1AKMT3,-0.368935374,4.10188685790015e-08
NUMB,-0.29885462,4.10718577885818e-08
GABRE,-1.163356246,4.10808582864595e-08
AL357079.3,0.575658863,4.14081473836133e-08
PRR33,-0.983832595,4.15187207347909e-08
MYH15,1.050483233,4.15431824182412e-08
C12orf45,0.385812797,4.15595553499914e-08
DNAJC21,0.324433499,4.1628257230279e-08
LINC00997,-0.460798573,4.17863776355333e-08
NECAP2,0.318864833,4.18680482649583e-08
SPATA2L,0.630544196,4.18748709536588e-08
C11orf45,0.578966701,4.25837645276844e-08
PROCR,-0.759022536,4.28188468241497e-08
ARG2,0.688473308,4.29238057251581e-08
AC015849.3,-0.643627661,4.31351294498903e-08
NMNAT1,-0.367033519,4.31799980653788e-08
SRPK2,0.339520203,4.3253666126066e-08
DDI2,-0.366185717,4.32770250137285e-08
TTC23,-0.45715624,4.35699183203968e-08
PTPRA,-0.248768034,4.35925661645724e-08
OVOL1,0.999966715,4.37321145773621e-08
FTH1,0.716564065,4.38689951743259e-08
MRPS28,0.51488095,4.40644637997783e-08
ZNF503-AS2,0.841116321,4.40761125400256e-08
TRMT11,0.388900133,4.50782246755815e-08
AC062029.1,0.612111713,4.51143124125384e-08
CLECL1,0.85646462,4.52739525981274e-08
AC243960.1,0.945028355,4.55913886688848e-08
ELL,0.280692285,4.60419893009944e-08
PPT1,0.338931747,4.71442473960682e-08
FAR2,0.850534749,4.74360090057937e-08
AP004609.3,-0.641417263,4.75698713129559e-08
DHRS3,-0.703434518,4.7680985989751e-08
DOCK5,0.636006756,4.77444706180722e-08
FP565260.1,0.725983185,4.77759441374816e-08
EDN3,-1.776670619,4.79347098107348e-08
LINC02610,1.009629315,4.80991837906529e-08
LRRC69,0.621725767,4.86073367123145e-08
TP53BP1,-0.395483488,4.88593431767536e-08
OAZ1,0.430201865,4.89433070116723e-08
MFGE8,0.883801635,4.91687504972068e-08
IER3,0.891653246,4.95270580969107e-08
CAVIN3,0.902147326,4.95270580969107e-08
PIGK,-0.311049401,5.00431535382757e-08
C1orf226,-0.772070253,5.01671860364548e-08
HSPA8P1,0.84768487,5.03846216749433e-08
HP1BP3,-0.25704933,5.07919695927661e-08
TOMM20,0.416724113,5.10661895127874e-08
SAFB2,0.348598778,5.11541727819081e-08
PCLO,-0.837749188,5.11835720795828e-08
ARGLU1,-0.463262198,5.12341834527033e-08
KCNK13,0.836480654,5.12668821914676e-08
FRK,0.677166076,5.14013376109302e-08
CFB,1.000983092,5.15066273347398e-08
AL669831.1,-0.481690287,5.15369825513319e-08
LINC01239,-1.448572367,5.16132350841196e-08
AC008946.1,0.66909377,5.16398446387021e-08
RNF4,0.260663177,5.26121738788644e-08
MAPK8IP3,0.543460683,5.26787609870867e-08
PDCD4,-0.59794744,5.27318206393046e-08
BIK,1.019788687,5.27330751216588e-08
AC104964.3,-0.910856921,5.2906696006142e-08
KRT18P34,0.728179258,5.34426933795364e-08
TADA3,0.330420834,5.35230073171584e-08
LINC00242,-0.695484995,5.35798031856425e-08
SPECC1,0.618525151,5.35993385069629e-08
LAMB2P1,-0.56001766,5.36581823761562e-08
TFE3,-0.448276096,5.37540625453913e-08
SRSF10,0.250281487,5.41031401517922e-08
CTXND1,-0.891770454,5.42108407801722e-08
MPC2,0.501120071,5.43116766740475e-08
FBP1,-0.887890703,5.43434459818972e-08
FAM160A2,-0.295273777,5.43924169850925e-08
SNAPC3,0.408044441,5.44859040396942e-08
ZC3H12C,-0.622926306,5.46233787143513e-08
VSNL1,1.052884347,5.50985570884155e-08
KPNA4,0.402195317,5.54181113410166e-08
ZFYVE28,-0.493022188,5.64810707935957e-08
ATM,-0.459735089,5.77453585826245e-08
PRDM1,0.601172874,5.78796842579033e-08
FHAD1,0.686866887,5.80799674586656e-08
UNK,0.365849857,5.81240328538076e-08
RFX7,-0.407241315,5.81240328538076e-08
LRRC47,0.303615498,5.81789984332294e-08
MAL,0.963577922,5.82391307225078e-08
AC021321.1,0.575483417,5.83043324968141e-08
ZNF221,-0.664087455,5.85454664765919e-08
AC007405.1,-0.780271046,5.8758700568433e-08
GALNT8,-1.172627648,5.89146162627914e-08
PLA2G15,0.442151194,5.89973219066662e-08
ZFAND5,-0.498286459,5.93707372281497e-08
IGLV1-40,1.335689647,5.93719289913181e-08
SETD5,0.324344402,5.94046903347829e-08
MYSM1,-0.479923929,5.97462896358331e-08
DCAF16,-0.384728004,5.97677949477135e-08
CUX2,-1.531784612,5.98250527130427e-08
AKAP13,-0.427067147,5.99852305803364e-08
NFE2L1-DT,0.599191289,6.0315199564905e-08
PBRM1,-0.400292181,6.05819726129322e-08
AL390719.2,0.999156919,6.08368773458398e-08
MRPS18B,0.338609512,6.08990188868777e-08
AC019197.1,-1.057118136,6.17407491896339e-08
TRPS1,0.755007411,6.25185360154818e-08
PHF2,-0.303183754,6.28406662317595e-08
TCTN1,-0.417089577,6.30818395661785e-08
LINC01535,0.928085572,6.31582134664106e-08
PNMA1,-0.383764346,6.32951227831116e-08
RPSAP7,1.020708925,6.36263390089959e-08
SOX18,-0.824616542,6.37627431223298e-08
MTIF3,-0.394836851,6.39058009140346e-08
FOXF2,0.854927385,6.39541287816696e-08
RPS2P55,0.722405326,6.41075641881825e-08
UGP2,-0.583361087,6.42010045232604e-08
KBTBD8,0.635105641,6.44501637157565e-08
AC008735.2,0.575982383,6.59803673744529e-08
DNAJC19,0.32982385,6.62237090971461e-08
SCGN,-1.800111711,6.64941744491743e-08
CDH6,-0.707468081,6.67158565464787e-08
MT-CYB,-0.783531523,6.68716320268319e-08
RHBDD1,-0.289624851,6.69194946393791e-08
CCT8P1,-0.709743643,6.71317115621762e-08
AL157838.1,0.691562341,6.73578431584188e-08
ZNF14,-0.356202231,6.78236512794587e-08
SLC22A23,-0.619224926,6.81257024516703e-08
NCF2,0.762466734,6.82362407097655e-08
POLDIP2,0.398756791,6.8829474223774e-08
CNTF,-0.619012485,6.98625045450225e-08
THUMPD2,0.34516975,7.00973499404605e-08
PDCD2,0.358224011,7.01366499522866e-08
COMMD1,0.389081269,7.02673740142188e-08
PDC-AS1,0.723240341,7.10237967833751e-08
ZNF76,0.304426111,7.1177892815648e-08
RFTN1,-0.741193141,7.12170474495631e-08
SELPLG,0.649934765,7.14385557312705e-08
MRPL10,-0.335682313,7.16261261987132e-08
COG3,-0.369773688,7.1685252553148e-08
PRSS12,1.189805775,7.18668881441178e-08
LINC01569,0.544515395,7.20307649472664e-08
NOCT,0.658920016,7.20357287724018e-08
NRG1,-1.389358045,7.21718969574784e-08
AC011008.2,-0.851952049,7.21718969574784e-08
NDEL1,-0.270660916,7.25188303551115e-08
GLIS3,0.722945871,7.26239239586956e-08
DNAJC11,0.348534594,7.26997973736738e-08
DCTN6,-0.388868376,7.29939840869478e-08
RIPK3,-0.604883151,7.32953946876074e-08
KCNMB3,0.428404281,7.41106461654121e-08
ACADM,-0.570144765,7.4987462530325e-08
KCNN1,1.079288953,7.50460330366744e-08
CEP57L1,0.400389278,7.57869573780633e-08
MEI1,0.843582257,7.64193784933348e-08
PREX1,-0.713519553,7.67614074304441e-08
PLA2G5,-0.996308474,7.68598486240889e-08
EIF5AL1,1.137343883,7.77764367676207e-08
SMN1,0.403616039,7.79074382719237e-08
TTC7B,-0.551185641,7.80701322081603e-08
C22orf24,0.515524085,7.86387202660824e-08
TNFAIP2,0.717614015,7.88762046385673e-08
PACS1,0.30674378,7.8964692243099e-08
OR51E1,-0.996071408,7.94255155406533e-08
ESPN,1.091444233,7.95904984829958e-08
GLB1L2,0.861088261,8.01050194880002e-08
PCDHGB1,1.027280157,8.153732445193e-08
PPEF1,1.373895568,8.21943652762054e-08
LY9,0.922480565,8.25123246562429e-08
KLK13,1.371632884,8.25867134056455e-08
LRBA,-0.474982628,8.28294099244958e-08
PHACTR1,0.769959201,8.28480001843568e-08
PSME1,0.440628674,8.28582076903392e-08
AC242842.1,0.803937265,8.31927038945172e-08
SMIM10L2B,-0.660997891,8.40330531194398e-08
EARS2,0.318941037,8.45468666109225e-08
STK4-AS1,0.545178308,8.47873733813116e-08
CBY1,0.405759336,8.55535623444108e-08
SCGB3A1,-1.693811,8.57999350373053e-08
ARHGEF3,-0.398107969,8.60770149314278e-08
TOGARAM2,0.861601379,8.62669842566637e-08
ASXL3,-1.196975056,8.62773405786804e-08
IKBKG,0.447669729,8.66972046875086e-08
AL121820.3,0.891943192,8.69458049809142e-08
ETFRF1,-0.460132287,8.69880076696803e-08
TRBV29-1,1.0557679,8.76659988309859e-08
TTC21A,-0.575514166,8.79955619598532e-08
SLC1A5,0.480299415,8.80729760308733e-08
FLOT1,0.365171449,8.86273090887753e-08
GOLGA6L9,0.623482611,8.93226690537489e-08
COL18A1,0.703999947,8.95666745180241e-08
GATA6,0.783457804,8.96658405013128e-08
ZNF358,0.588616545,8.9743996194467e-08
SNAP91,1.254762754,9.08851941292662e-08
CLGN,1.282774538,9.11177875846816e-08
PJA1,-0.499416272,9.13235977490014e-08
AC009812.4,0.625368842,9.19061839280101e-08
LRRC73,0.783593714,9.19281970617611e-08
SDSL,0.658647644,9.19999312698703e-08
CFP,-0.824259667,9.23296332175146e-08
CDIP1,-0.382659198,9.23585644736296e-08
CORIN,1.049682202,9.29243833191e-08
DNM1P35,0.795636282,9.31319115146653e-08
TNIP1,-0.526929247,9.33869687953461e-08
PCBP1,0.510498672,9.47018285271415e-08
AC096540.1,-0.650808818,9.56525975592168e-08
TM9SF2,0.419226984,9.58389862769768e-08
AC026471.2,-0.687129164,9.61811295347934e-08
FAM227B,-0.487289229,9.63152996457767e-08
TUBGCP6,-0.396929235,9.70220454249809e-08
ZBTB7C,-0.82629839,9.74620906331115e-08
AL162311.3,0.693878892,9.80589805482251e-08
AC092279.2,-0.597802297,9.90469059464054e-08
PHKB,-0.478938002,9.92910841993667e-08
SATB1,-0.630429334,1.000766747159e-07
C1GALT1C1,0.361711204,1.00097202341647e-07
VIRMA,0.344461271,1.015257584452e-07
UCN,0.8664856,1.01630458273005e-07
NOP14,0.299647286,1.01843228696386e-07
NUDT17,0.538829793,1.0252418617224e-07
AC139887.4,-0.64701773,1.03789279736277e-07
ZNF345,-0.437629104,1.04287740566319e-07
AC093297.2,-0.485083263,1.0431069433746e-07
CAND1,0.458733855,1.04338359136427e-07
B3GALT2,-0.796812549,1.05541923680772e-07
WDR11,-0.39647163,1.06041908231125e-07
ID2,0.46034495,1.06727065071523e-07
ATP6V0A2,0.32270569,1.06727065071523e-07
WDR27,-0.506623041,1.06985622891831e-07
PLEC,0.525939891,1.07511795063402e-07
CLEC2D,0.572095812,1.08100592047421e-07
GLE1,0.295622042,1.0846882724604e-07
HPS3,0.416763916,1.08478456771347e-07
SORD,0.794015046,1.08635539457427e-07
ZNF815P,0.399141673,1.0915817997943e-07
KANSL3,-0.272739303,1.09296854404722e-07
TMEM50B,-0.354565543,1.09343232004753e-07
NCMAP,1.301795041,1.10240323531174e-07
HOXC8,-0.678429427,1.10276415365252e-07
CD109,0.835272372,1.11199492746119e-07
ZFP37,-0.507675351,1.11704618795884e-07
USP43,0.855895611,1.12353830640279e-07
IGSF6,0.720392855,1.12370274881331e-07
SACS,-0.568835591,1.12370274881331e-07
AVEN,0.428583705,1.12706075276875e-07
WNT10B,-1.068461536,1.1287096385893e-07
BLOC1S2,0.326623954,1.13474042196853e-07
RILP,-0.68537545,1.14128859163021e-07
USP12,-0.356780931,1.1412899503373e-07
AL008721.2,-0.731198866,1.15903158596684e-07
DPF3,0.777822853,1.16800378677321e-07
TMSB4XP4,0.84047906,1.17295646842883e-07
HERC6,0.677519473,1.17410164790424e-07
AC016727.1,-0.439024865,1.17570850123523e-07
MSH5,0.591355553,1.17653059624405e-07
PTPN11,-0.466187945,1.17754557361093e-07
COPS7A,0.342252215,1.17755911512126e-07
OLFML3,-0.743987079,1.17813680498333e-07
SPTAN1,-0.322677417,1.17860240820203e-07
GSC,-0.923054644,1.17979238398855e-07
CXorf56,0.289366206,1.18329276185118e-07
BOC,-0.732112618,1.19131946874326e-07
RTL9,-0.922408225,1.19578652229562e-07
RTCB,0.281500279,1.19933727498485e-07
BTBD11,-0.914929638,1.20588764579546e-07
RPS28,0.560744082,1.20910693414603e-07
ETV3,0.438107614,1.22753929089751e-07
AL158071.4,-0.682784613,1.24463763006065e-07
DDTL,0.506286521,1.24517476856467e-07
AGAP9,-0.533604406,1.2472667995414e-07
WDR97,0.885289413,1.26294532881957e-07
PGM5P2,-0.836036832,1.28205630449562e-07
CCNT1,-0.347061591,1.28439350994195e-07
NPTX1,-1.319208273,1.28571847725122e-07
ADGRG3,-0.925741228,1.28594011893158e-07
ZNF85,0.406207241,1.28624018713623e-07
DNAJB2,0.457782989,1.29360576618203e-07
MBNL1-AS1,-0.774975127,1.307099858453e-07
DAD1,0.360101564,1.31142533839657e-07
TEN1-CDK3,0.737199717,1.31258926898635e-07
LAMC3,-1.018094853,1.31370572576205e-07
MSX2,-1.139783159,1.31442256300973e-07
RCC1L,0.389535122,1.31481967331578e-07
C2orf88,-0.930244442,1.31574460256488e-07
AC006504.7,0.600107712,1.31765294464406e-07
TRIM6,-0.705215395,1.32681110007946e-07
RPSAP69,0.835345959,1.32726831850384e-07
CA6,1.833826537,1.32917121382118e-07
PXMP4,-0.722640932,1.34577391428879e-07
TCTN2,-0.447425715,1.36307860909172e-07
BAD,0.608622402,1.36733230779995e-07
CASC19,0.801974307,1.36880322112354e-07
PCNX2,0.470699567,1.37061909437369e-07
CCDC71L,0.46076649,1.37220576983897e-07
CCT6B,-0.505611355,1.37328020509521e-07
AL512770.1,0.536208709,1.37455387496932e-07
IFT22,0.361760018,1.37515505213357e-07
MUTYH,0.494200675,1.3784251133644e-07
CLIP1,-0.40829461,1.38141377676922e-07
RTRAF,0.340899218,1.38482265980995e-07
WDR48,-0.321225918,1.3866095957824e-07
IGLV2-14,1.370029706,1.38800627397941e-07
SPTB,-0.991534612,1.39280680297131e-07
MINDY1,-0.425543511,1.40130700567508e-07
GPBP1L1,0.236480115,1.40207276558109e-07
STARD7-AS1,0.305526349,1.40493803493072e-07
PEG10,1.130126309,1.40710174164184e-07
ZNF576,0.310959347,1.40741220201996e-07
DBNL,0.365517349,1.41556275275855e-07
MAPK7,0.307219516,1.41748745045241e-07
UQCRB,0.455045772,1.42723534346376e-07
PPP1R7,0.306179742,1.44019737808382e-07
CAP2,-0.660301528,1.45228407956953e-07
AL391988.1,-0.695978477,1.45760285081998e-07
SGCE,-0.535073158,1.46438988206724e-07
TWF2,0.594498315,1.47149628115048e-07
EVI2B,0.684995524,1.477837370239e-07
TMEM217,0.670268538,1.47821753393335e-07
WNK4,-1.329411161,1.47882238246593e-07
AQR,-0.303497468,1.4826586651793e-07
SOX9,0.735767628,1.48714107857425e-07
