Gene,pval_adj_Single_cell,log2FoldChange,padj,Chromosome Position,Total_Mutations
FGFBP2,0,-1.388158881,1.10129899432609e-06,,1
ICAM1,0,1.650573602,1.63978093629478e-29,19p13.2,4
CHI3L2,0,2.334926341,1.14624028920691e-32,1p13.2,3
PTP4A2,0,-0.221479626,0.000396667,1p35.2,2
DSG3,0,1.519650418,2.01757235105979e-06,18q12.1,7
GJB2,0,4.659450185,2.05662968768258e-120,13q12.11,2
LY6D,0,3.404013031,5.218815868740321e-25,8q24.3,3
BTG3,0,1.089458877,9.30915972921548e-35,21q21.1,2
NINJ2,0,0.681830108,3.72533637364732e-07,12p13.33,3
ARV1,0,0.740810962,1.02965963041987e-21,1q42.2,2
PLLP,0,-0.947735875,2.48362761173065e-16,16q13,2
PWP1,0,0.270132773,5.4109446969207e-07,12q23.3,3
HNRNPM,0,0.648037642,9.33532781578674e-33,19p13.2,3
METAP2,0,0.141771598,0.006552123,12q22,5
TDG,0,0.782318486,4.42118249698193e-36,12q23.3,4
GOLPH3L,0,0.329074298,2.84885571970491e-07,1q21.3,2
PDCL3,0,1.076571878,1.05714664105253e-62,2q11.2,5
NAE1,0,0.641093963,6.773182015283411e-25,16q22.1,3
TMEM179B,0,0.365639448,1.720012241209e-09,11q12.3,1
TSPAN15,0,-0.372859166,0.002153487,10q22.1,2
PSMB8,0,1.174331106,1.25785305190577e-28,6p21.32,2
SETD5,0,0.324344402,5.94046903347829e-08,3p25.3,8
SMC6,0,1.136663432,1.08059404063655e-71,2p24.2,9
VAV3,0,-0.370420587,0.032246368,1p13.3,5
RPL26L1,0,1.202926386,7.76629185709097e-50,5q35.1,1
FIP1L1,0,0.560637674,2.24572810242129e-28,4q12,6
CCDC14,0,0.454819687,2.55992015891732e-06,3q21.1,6
PAFAH1B2,0,0.221706881,3.16713630706258e-05,11q23.3,1
ERP44,0,0.367714922,3.91945199128877e-11,9q31.1,1
GSTO2,0,-0.486942959,0.003730922,10q25.1,3
CDCA7,0,3.088396343,4.721330757152311e-118,2q31.1,5
SMAP1,0,0.408633356,2.29102080610437e-06,6q13,4
NDUFA9,0,1.008107196,1.5314633599605802e-23,12p13.32,4
GTF2E2,0,0.54168045,2.71931341828788e-11,8p12,2
MYL6B,0,0.727647044,2.69252477646991e-13,12q13.2,1
PFKL,0,0.893641498,2.69624328803311e-25,21q22.3,2
PRKCSH,0,0.893560019,6.308601875762129e-34,19p13.2,3
MTPN,0,0.300692038,3.89579591805532e-07,7q33,1
NUP62,0,1.175835843,8.63190160163806e-115,19q13.33,5
POLE4,0,0.374772688,2.56637305283824e-05,2p12,1
HNRNPAB,0,1.3946963,3.05144632971745e-88,5q35.3,1
DCTN6,0,-0.388868376,7.29939840869478e-08,8p12,2
PAXBP1,0,0.285451843,0.000145264,21q22.11,10
PSME1,0,0.440628674,8.28582076903392e-08,14q12,2
FXYD5,0,1.393920034,1.87572728290015e-31,19q13.12,4
CLIC1,0,0.852661405,1.27328611657357e-37,6p21.33,2
EIF2S1,0,0.321529923,1.51038034824621e-06,14q23.3,2
JUN,0,-1.337256745,7.39652555980001e-29,1p32.1,4
DNAJA1,0,0.820242239,1.59334845257128e-42,9p21.1,2
RHEB,0,0.940821093,1.3577142052652301e-52,7q36.1,1
GNLY,0,0.887391053,1.82347144681243e-07,2p11.2,2
GZMA,0,1.688013008,7.20780882512905e-25,5q11.2,5
GGCT,0,1.72499717,5.68233487460315e-56,7p14.3,3
LRRC41,0,0.519959618,1.16790226153427e-24,1p34.1-p33,10
SGCB,0,-0.833341998,4.07301294378523e-17,4q12,4
CHMP2A,0,0.20451207,0.028100951,19q13.43,2
HNRNPDL,0,-0.314505051,3.06123493345061e-12,4q21.22,6
CBX1,0,0.900596438,9.50938066344363e-42,17q21.32,3
MRPL11,0,0.997520605,3.5269470526786295e-42,11q13.2,4
RUNX3,0,1.181525953,1.3150237910182901e-19,1p36.11,1
FH,0,0.942340745,6.3515176261356e-31,1q43,3
ACAA2,0,-0.700491323,6.99535159152043e-10,18q21.1,3
DCAF10,0,0.161732579,0.019863303,9p13.2,2
ST14,0,1.788895583,2.33379258673465e-39,11q24.3,5
CSTF3,0,1.089336908,3.16240188500264e-51,11p13,10
PNKD,0,1.059808909,2.14302174142312e-42,2q35,4
POLR2G,0,0.754645398,4.10846212252927e-40,11q12.3,1
SELENOT,0,0.268834729,6.16703031521201e-06,3q25.1,2
VGLL4,0,0.348259806,1.89077960356076e-05,3p25.3-p25.2,4
EXOSC5,0,1.275726833,4.35445979775328e-41,19q13.2,1
MRPS25,0,0.298045205,3.89006946601314e-05,3p25.1,1
KLRD1,0,0.408310933,0.003068347,12p13.2,2
CTSW,0,1.075073485,5.1094389639028594e-11,11q13.1,1
CCL4,0,0.338258601,0.040161346,17q12,1
CD247,0,1.100378491,8.378263854165561e-15,1q24.2,1
PLAAT4,0,0.499377795,0.004978197,11q12.3,2
PRF1,0,0.888085235,4.920451027511691e-09,10q22.1,6
CST7,0,1.46665212,4.36018523259844e-26,20p11.21,3
FDCSP,0,3.389813791,1.91140053706436e-21,4q13.3|4q13,2
UFC1,3.28075539028868e-309,1.090362878,1.578131825756e-54,1q23.3,1
PRCC,5.24372696290496e-309,1.32823018,8.72568046240469e-123,1q23.1,4
MRPS9,7.21390950594717e-309,0.555253859,1.40464720537585e-13,2q12.1,1
RHBDD2,2.325013212709183e-308,0.632247363,2.2349525818798202e-21,7q11.23,1
PROM2,3.478082042429306e-308,0.734441711,6.19371247189314e-05,2q11.1,8
CEP170,3.824339295667294e-308,0.790009674,3.73235009933851e-19,1q43,19
EIF4H,4.1775490902941046e-308,0.172200803,0.000418603,7q11.23,3
YWHAB,5.311015831195033e-308,0.292413289,8.226229070689451e-09,20q13.12,3
FANCL,6.12283757260369e-308,0.659699362,2.57743776925756e-20,2p16.1,2
IFNAR1,6.783609245344577e-308,-0.212503064,0.001020797,21q22.11,5
PGM1,2.5995495118184478e-307,-0.546506538,3.6043220785253e-05,1p31.3,3
CEP55,5.076676836948201e-307,4.473655756,3.61117017730695e-249,10q23.33,4
EGR2,9.250214398133837e-307,-2.113730552,4.59742138113198e-40,10q21.3,4
ANAPC5,1.0633187233150571e-306,0.282295104,1.70554818666843e-08,12q24.31,8
FAM32A,1.4699325165374267e-306,0.509970152,5.85089149564979e-21,19p13.11,1
EFNB2,1.9921033345048586e-306,-0.237125379,0.025915504,13q33.3,2
RBMS1,3.623223194933448e-306,-0.275111526,8.65321671579557e-05,2q24.2,5
TM4SF18,4.4008854480772256e-306,-1.109064204,4.508135007429929e-20,3q25.1,1
NSDHL,5.4206648829960045e-306,0.833278118,2.78936211920918e-30,Xq28,7
RPL7L1,2.2406524906768072e-305,0.781488323,1.0912847819495e-23,6p21.1,1
BAIAP2,2.4789057788947257e-305,0.565211437,3.0180080503581e-08,17q25.3,2
CCNQ,2.797390866925861e-304,1.370978978,4.83261550992446e-59,Xq28,5
GATA3,4.397050351546477e-304,-1.026346969,2.05075514552386e-07,10p14,127
BANK1,5.120842403129093e-304,-0.6769967,0.002785244,4q24,8
FNDC3B,6.136329907826081e-304,0.307669987,0.001263452,3q26.31,9
GID8,7.390435585686126e-304,0.656728612,1.80106902265634e-33,20q13.33,2
LACTB,7.892159867943588e-304,0.350277976,5.44318573591292e-06,15q22.2,3
MPHOSPH10,7.94197133382714e-304,0.836539101,2.3460051621214e-50,2p13.3,5
GPBP1,8.937997568774364e-304,-0.242225055,4.33162474487206e-07,5q11.2,3
MX1,1.024520304676292e-303,1.968005691,3.36613980990339e-35,21q22.3,8
RAP2B,1.5239404131256612e-303,1.090335729,5.3246354737825395e-55,3q25.2,2
GLCE,1.5808727123252932e-303,-0.319376524,6.07343886712579e-05,15q23,8
APOBEC3G,1.807550795570909e-303,0.531605207,1.68011878668334e-05,22q13.1,3
CAPZA2,7.876718094745465e-303,-0.331009364,1.95117489941233e-06,7q31.2,5
ENG,1.1843110162965544e-302,-0.407392241,0.000248693,9q34.11,8
GTPBP6,1.381598363159599e-302,0.336572142,0.000926768,X;Y,2
TMF1,1.7699134645011738e-302,-0.189274284,0.006300302,3p14.1,7
EIF3M,3.3967495560642913e-302,0.443264339,7.004481948237201e-10,11p13,2
PIK3R1,3.672476084858765e-302,-1.518030653,3.56765614509382e-43,5q13.1,32
AKT1S1,6.505647072048808e-302,0.64087387,6.60224624267585e-18,19q13.33,1
SLAMF8,1.0586779243874112e-301,2.359432979,3.3290770550817704e-47,1q23.2,1
TOB2,2.2996772038968347e-301,-0.457162144,3.62434231639668e-10,22q13.2,1
NOL10,2.793881454092821e-301,0.948372513,9.03370338701098e-56,2p25.1,7
GLRX,5.0725079656815495e-301,0.482780165,2.99114789579389e-05,5q15,2
SNRPA,7.2209610559991985e-301,1.067050317,2.09994587311888e-44,19q13.2,2
GMPR,1.620138619048601e-300,0.930914799,1.07614473836139e-10,6p22.3,4
SLC39A7,2.2585879989282186e-300,1.32003562,7.68716045849126e-63,6p21.32,6
PSPC1,4.464823205429617e-300,0.581156021,3.20349667755898e-19,13q12.11,5
FASTK,4.482612532878116e-300,0.933045705,1.7940742358266e-21,7q36.1,5
FERMT3,5.8692851687740503e-300,1.205236697,2.0551532167569698e-18,11q13.1,9
SKIL,8.194442658070827e-300,0.670830546,9.464987122150621e-14,3q26.2,6
GRHL1,8.202495138862614e-300,0.488319507,0.000962257,2p25.1,3
ECHDC1,1.2664169053626504e-299,-0.40378605,0.000609848,6q22.33,6
IFNGR1,1.8088050648642127e-299,-0.374509123,3.98823306171369e-06,6q23.3,2
CA2,2.3590930980428761e-299,-0.40721497,0.028917343,8q21.2,2
EIF4E2,3.7591620858956126e-299,0.601407406,8.75138732463651e-26,2q37.1,3
HLCS,5.83075354435262e-299,0.398660594,9.76056005379293e-11,21q22.13,2
SLC25A33,1.3070145503726988e-298,0.231010684,0.02473779,1p36.22,1
CTDSP2,1.4620364399899273e-298,-0.739380279,8.980409624680998e-35,12q14.1,1
RAB14,1.4620364399899273e-298,-0.272284684,1.9871464096259e-06,9q33.2,4
SPRED1,3.177704471217294e-298,-0.273955211,0.000759855,15q14,6
ING2,1.5498548025213533e-297,0.204496539,0.001957221,4q35.1,1
SH3BGRL,1.6780748266499878e-297,-0.598556118,1.86861254414784e-11,Xq21.1,3
IL17RC,2.71794586287029e-297,0.64761862,2.12246621564964e-12,3p25.3|3p25.3-p24.1,3
PNN,3.410059385194468e-297,0.267449239,3.28404950397401e-06,14q21.1,6
GNAQ,9.018695324912215e-297,-0.70759516,1.32092889860111e-19,9q21.2,2
GZMH,4.3561822303303826e-296,0.872246685,4.12754508027516e-07,14q12,3
TM2D1,4.7063572959057384e-296,-0.142449848,0.013664446,1p31.3,1
EEF1AKMT4,8.936201839535801e-296,3.20030795,6.2267628657226e-174,3q27.1,1
CDH11,1.4076792690636381e-295,1.020507073,2.1326260241421705e-17,16q21,7
IAH1,1.6491320854707577e-295,0.331104955,5.66741974688139e-05,2p25.1,1
AQP3,2.493192302090773e-295,0.97950609,1.87110787229264e-05,9p13.3,3
ACAT1,4.369236590375004e-295,-0.947616743,6.680319785474921e-15,11q22.3,3
TCEA1,5.679794066658012e-295,0.562017016,7.01407531575123e-18,8q11.23,4
BZW2,1.5440433119857824e-294,0.973530707,1.49120648637422e-27,7p21.1,1
SLC25A39,1.91146887315562e-294,1.403423254,8.51073922598303e-73,17q21.31,2
TIPRL,5.765266300790149e-294,1.074370319,9.07367971464884e-66,1q24.2,4
S100B,5.964107853471737e-294,-0.594563125,0.009349033,21q22.3,2
UQCC2,6.188266367269622e-294,1.399610952,1.25636544921125e-63,6p21.31,1
GK,1.2940671973609086e-293,1.004938218,3.47634125766195e-35,Xp21.2,5
PICALM,1.5933206641462726e-293,-0.279134484,1.24081494952231e-05,11q14.2,5
EMC8,1.9920966627742907e-293,0.924100087,4.1349078826810396e-55,16q24.1,1
TENT5B,2.1177137175234727e-293,-0.83080306,2.8632010379188e-07,1p36.11,1
MAPK13,3.668196156764516e-293,0.837170183,1.2387982933795201e-17,6p21.31,2
TLR2,3.695488091592345e-293,0.6009752,3.84860858779058e-06,4q31.3,6
RSRP1,4.0402215786328317e-293,-0.212628397,0.015359657,1p36.11,2
PSMD12,4.828924872872253e-293,0.817478555,3.73416110404157e-38,17q24.2,3
CCDC85B,6.634637509464736e-293,1.188491885,5.41336598342748e-13,11q13.1,1
STK25,1.2268107217948128e-292,0.438883373,2.47619803867685e-10,2q37.3,4
ANXA11,2.103263101653869e-292,-0.54680699,8.97196691643318e-13,10q22.3,2
PDK1,2.976720628724962e-292,0.884458909,3.35399857297243e-20,2q31.1,2
STEAP1,5.475502441022974e-292,-0.888137381,1.03189791802481e-10,7q21.13,4
NOP58,5.969818064792547e-292,1.100362435,1.08004680697209e-62,2q33.1,4
SUPT5H,3.122957938264096e-291,0.909434669,2.40602120405714e-37,19q13.2,14
ATF1,3.882849129106344e-291,-0.15249868,0.014002512,12q13.12,2
YPEL5,4.287101211268129e-291,-0.447714476,4.1759925388729e-14,2p23.1,2
AKR1C3,4.944251965823395e-291,-1.365364877,7.29052550074874e-10,10p15.1,1
CENPF,5.0780183876857566e-291,4.245062481,4.44026963973653e-225,1q41,18
PREB,5.303659452177988e-291,0.567357185,1.201407246044e-19,2p23.3,3
TRAP1,5.701192264846028e-291,0.627474275,2.9601068239896e-14,16p13.3,3
INO80C,1.0939137874063798e-290,0.433031666,9.76491182085196e-09,18q12.2,1
UBE2J2,1.534372876149501e-290,0.684955467,8.73035514442992e-23,1p36.33,2
FBLN2,1.862216908272527e-290,-1.010633267,1.15384672772345e-08,3p25.1,7
ALKBH2,4.1504399968734645e-290,0.85969897,3.5131592713957605e-21,12q24.11,2
VSNL1,4.3087883640020056e-290,1.052884347,5.50985570884155e-08,2p24.2,1
HBS1L,5.97114301991209e-290,0.559658813,1.84302010343608e-12,6q23.3,5
MRPL40,1.0203339363078343e-289,0.225233818,0.004005915,22q11.21,5
LHFPL6,1.8698754962730162e-289,-2.377117272,2.0303337874098e-103,13q13.3-q14.11,1
CDCA3,6.130519274860262e-289,4.343926887,2.9880645390773e-282,12p13.31,2
IRX3,6.145725958069328e-289,0.35463283,0.016607815,16q12.2,2
HSPA5,7.124892888961612e-289,0.990542136,1.0428694229556e-56,9q33.3,9
NXPH4,1.69829270629719e-288,3.379550266,2.42529391406343e-60,12q13.3,1
CCNC,1.8412039695730897e-288,0.724205339,2.15957292647594e-27,6q16.2,1
NCL,3.1352936735172466e-288,0.774657068,1.2136331342399e-49,2q37.1,13
PNRC1,4.857125339560623e-288,-0.214380363,0.004520168,6q15,4
KMT5C,5.0707265218438384e-288,0.875672791,6.13495018975811e-22,19q13.42,1
CHCHD3,7.784235512532447e-288,0.703991049,1.0371080799060201e-17,7q32.3-q33,3
MBD4,9.484184506927504e-288,0.628783397,5.33659720368591e-25,3q21.3,3
CPE,2.2149097304743897e-287,-1.813127946,4.38859530810228e-47,4q32.3,3
MAFG,2.2604483518135518e-287,0.219516586,0.002419153,17q25.3,1
NOSIP,6.960843209836273e-287,0.540032345,1.01252547083516e-08,19q13.33,2
SLBP,1.8770084765217856e-286,0.993832629,2.2233221238932702e-68,4p16.3,1
MRPS34,2.5022608533728788e-286,1.266237811,5.1760713232388e-36,16p13.3,1
SEZ6L2,3.1906285271087213e-286,1.254219682,6.07233917813981e-13,16p11.2,8
CCAR1,8.172321987387265e-286,0.604595786,7.67281805839483e-32,10q21.3,10
MSLN,8.669220387455637e-286,6.534365576,1.99213764303981e-91,16p13.3,4
EVA1C,8.826536135262675e-286,-0.566654765,7.5436419322178e-07,21q22.11,3
PLPP5,1.0261975214407644e-285,0.534487867,1.08579920661654e-09,8p11.23,1
ISCA1,1.701749527828926e-285,-0.387506616,5.18935093091793e-09,9q21.33,1
UPP1,2.2878004509743078e-285,1.391232718,1.71169278735962e-27,7p12.3,4
ODF2L,3.41692280146798e-285,0.342779046,1.3626625663121e-06,1p22.3,4
CHTOP,3.502032240883968e-285,0.767420892,6.175568610655031e-47,1q21.3,2
FKBP10,4.062735299252157e-285,1.419807567,2.0070251158946705e-25,17q21.2,3
TNFRSF1B,4.6195071592348965e-285,-0.263863945,0.031106809,1p36.22,4
MRPS10,5.376330432933232e-285,0.734087807,1.4258930997169602e-31,6p21.1,1
MPZL1,5.713179171318617e-285,0.520106372,7.94755103091479e-12,1q24.2,2
CHD1,9.033267131921987e-285,-0.515849985,1.46454680135546e-14,5q15-q21.1,11
HCK,1.3015287790552795e-284,1.16750103,5.16250141671179e-17,20q11.21,3
MSH6,2.4388534995893468e-284,1.115174553,3.29954110269685e-50,2p16.3,10
HIBCH,2.7551473617865397e-284,-0.381550789,6.51099916530332e-06,2q32.2,3
FAM241B,6.046167501332294e-284,1.383959088,1.0655233720781098e-30,10q22.1,1
PXDN,6.329490435519709e-284,0.691854861,2.6591975977408e-06,2p25.3,9
DIMT1,1.195217724251727e-283,-0.150999552,0.017261054,5q12.1,3
SWI5,1.7337068880457592e-283,0.546238316,1.40410682293372e-14,9q34.11,6
GCC2,2.3550579887587653e-283,-0.674768489,1.65920082943181e-16,2q12.3,19
MOSPD3,4.408136949143875e-283,1.05474708,5.73033439856536e-40,7q22.1,1
PLXNC1,4.430730272472256e-283,0.301154995,0.005415118,12q22,9
DARS1,5.431459026782035e-283,0.157267929,0.005930735,2q21.3,2
YME1L1,8.145231119240417e-283,0.507274211,1.33371513637765e-18,10p12.1,6
TARS1,8.525306919715725e-283,1.127972344,7.47355103811107e-56,5p13.3,8
COL18A1,7.330728017434385e-282,0.703999947,8.95666745180241e-08,21q22.3,14
SCARB2,8.544070507034176e-282,-0.351017121,2.03962842202842e-08,4q21.1,9
GNL3,9.905214742886989e-282,0.563867263,2.87943865789053e-26,3p21.1,7
DYNC1LI2,3.263541715362792e-281,-0.552213561,5.94681740751997e-11,16q22.1,5
TUBB4B,3.8671697403749286e-281,0.983378861,6.857299503155389e-28,9q34.3,4
NMI,9.271274305779384e-281,1.090120108,9.08786654519082e-55,2q23.3,6
UPF2,1.0745066973243285e-280,0.556538623,3.9067484320839e-17,10p14,14
SKA2,1.1783424154121083e-280,1.075265612,6.937236315974741e-44,17q22,2
HNRNPD,1.7222975654625648e-280,0.609361037,9.22537642187557e-32,4q21.22,2
PHF20L1,2.342629755397786e-280,0.68291339,8.54213123457511e-22,8q24.22,16
DAXX,2.8784175146372777e-280,0.938487269,4.0297131073828594e-77,6p21.32,6
OSBPL1A,5.039609675254301e-280,-0.738870355,1.0597861407846901e-15,18q11.2,10
UBA3,5.315442301049201e-280,0.277714746,3.38723145186938e-08,3p14.1,1
G0S2,7.261965185737718e-280,-3.646466095,1.37711732966082e-56,1q32.2,2
PLAC9,2.20647813820873e-279,-3.235479819,1.4887170433242202e-54,10q22.3,1
SUSD4,3.1634508807825308e-279,1.609530406,5.72803210708331e-20,1q41,7
LIMCH1,4.160883264844225e-278,-1.271309969,2.07788996726664e-21,4p13,5
TAPBP,4.164360447260331e-278,1.25765082,2.05441112792233e-64,6p21.32,1
MAIP1,5.857420897591789e-278,0.500295977,6.49800348374344e-18,2q33.1,6
TMEM50B,6.2864257019408e-278,-0.354565543,1.09343232004753e-07,21q22.11,2
DDOST,7.605209780513194e-278,0.951684312,3.58551895613191e-61,1p36.12,2
VAMP5,1.2095939807241833e-277,-0.339970866,0.007630429,2p11.2,2
LRRCC1,1.4609740138752938e-277,1.136138936,1.50753665135142e-36,8q21.2,8
DAD1,1.597156742474924e-277,0.360101564,1.31142533839657e-07,14q11.2,1
AMD1,5.611402538759705e-277,0.935251464,6.123475209089788e-29,6q21,2
PITPNB,6.221393409629559e-277,0.342936581,7.62756561416797e-14,22q12.1,2
DSG2,6.838804942464097e-277,0.461036285,5.80579588129221e-05,18q12.1,3
ALDH1A1,7.520457309692144e-277,-2.606993624,1.67734589916087e-54,9q21.13,9
INTS10,1.8064934759481217e-276,0.267737424,0.000290859,8p21.3,6
NPDC1,2.331353517157314e-276,-0.367472791,0.005794413,9q34.3,3
TMEM230,2.598264349235014e-276,-0.266115483,0.000218991,20p13-p12.3,1
TUBG1,2.9036584074556957e-276,1.356064472,2.2093490050791e-55,17q21.2,2
SRSF1,3.0685542682915604e-276,0.731395334,3.2970281035105e-42,17q22,2
TCF7L2,6.358656529290418e-276,-0.506294977,5.55356665419228e-12,10q25.2-q25.3,7
TCEA2,1.0975346806331363e-275,0.394434367,1.95356749662967e-05,20q13.33,1
CTNND1,1.0991020919398617e-275,-0.535678609,1.70818020313569e-13,11q12.1,6
KEAP1,1.3687728977578664e-275,0.527638744,1.3196437367320899e-11,19p13.2,2
UCP2,1.5448785376423657e-275,0.397515002,0.001385995,11q13.4,8
STAB1,1.9566455310648285e-275,-0.479811046,0.00190303,3p21.1,15
CDC20,2.845773924010388e-275,4.936071244,1.15395652820516e-268,1p34.2,3
BMI1,4.242872220809382e-275,0.262064576,0.00078061,10p12.2,3
NELFCD,4.270120047745527e-275,0.782120895,1.25707422841764e-41,20q13.32,7
PTPN6,5.822137643279521e-275,1.139980328,2.0775090830105298e-33,12p13.31,1
LILRB2,1.5452418850364138e-274,1.153320428,3.73766783047546e-14,19q13.42,6
CHAF1B,1.9658780043225118e-274,2.215019246,4.65847112131167e-115,21q22.12-q22.13,2
AIG1,2.9200309263800366e-274,-0.639626929,6.89833591334724e-17,6q24.2,1
SDHA,5.193019265228137e-274,0.421618156,3.04779174254174e-05,5p15.33,3
CNOT3,5.619360013748684e-274,0.760543468,2.40120092894856e-53,19q13.42,9
GTPBP3,9.098779758715453e-274,1.230400828,8.35108105964252e-57,19p13.11,5
SPPL2A,2.1595496787489987e-273,-0.165124653,0.045276603,15q21.2,3
PPP1R14A,2.3521277648729658e-273,-1.7996097,1.42707718049637e-25,19q13.2,2
IDH1,3.928328655552611e-273,-0.272147394,0.018335088,2q34,6
EPN1,4.964275511475856e-273,0.839614095,8.09465323034237e-25,19q13.42,6
TMEM248,1.6053143740525966e-272,0.211280175,2.72150691274601e-06,7q11.21,1
TFCP2L1,3.449267715711398e-272,0.800851811,9.2563740114856e-05,2q14.2,5
GINS2,4.667671537786033e-272,2.383448662,3.06765993211485e-90,16q24.1,2
TUBA4A,5.9111639601984124e-272,1.295572423,9.40358081919568e-18,2q35,2
AAMP,6.077234704263565e-272,0.441664875,5.84216068833667e-11,2q35,1
SERPINB2,6.487971226916662e-272,3.249550964,4.2357629288566497e-26,18q21.33-q22.1,3
PLEKHB1,7.012978806744927e-272,1.518704698,7.07165695849221e-18,11q13.4,1
DCPS,8.391779289127884e-272,0.847029062,1.66817728186864e-36,11q24.2,3
ISLR,8.845394092922455e-272,-0.443861085,0.000412759,15q24.1,6
MCRS1,1.4787704884363376e-271,0.378247089,1.9606998795554198e-11,12q13.12,4
ACYP1,1.710736649472929e-271,0.792390175,9.47864110114728e-22,14q24.3,2
CXCL10,2.410783650188475e-271,5.142104708,8.55908292134955e-129,4q21.1,1
ACLY,2.6734872275549167e-271,0.207527363,0.024707016,17q21.2,6
MTAP,3.4536358722515313e-271,0.492688033,3.54387116265791e-06,9p21.3,2
PPP1CC,1.6964208647966735e-270,0.198047304,0.000536355,12q24.11,3
EIF4A1,3.1569178250866663e-270,-0.668038317,2.83051986413051e-10,17p13.1,5
ABHD17C,1.0969519389446816e-269,1.338739732,5.34899153975202e-38,15q25.1,2
DNAJA3,1.2175868399719942e-269,0.710794044,3.19774624734075e-30,16p13.3,1
SMARCA1,1.4264499588160504e-269,-0.644191621,1.8598504315030902e-09,Xq25-q26.1,11
EMG1,1.8188515037056277e-269,1.041976537,5.15536931392511e-40,12p13.31,1
WDR43,1.8551147218108438e-269,0.695812931,3.0129139816505197e-28,2p23.2,3
PEG10,2.1353555312881085e-269,1.130126309,1.40710174164184e-07,7q21.3,4
AK4,3.4097121278624845e-269,-0.599166111,4.90252964822626e-06,1p31.3,2
GNB1,4.8673288832709054e-269,0.32387613,9.792218278731381e-09,1p36.33,1
BCAT1,5.0144896503474215e-269,1.35836384,4.6071843247048304e-14,12p12.1,6
BUB3,6.572804166761048e-269,0.812302542,5.97594725641947e-41,10q26.13,3
BICDL2,1.5149437119026103e-268,0.854367332,1.2889847210207e-05,16p13.3,1
MRPS7,1.8760049121493816e-268,0.673044818,2.31451301129342e-20,17q25.1,3
WDR46,2.4600532162116216e-268,1.046154097,9.272626314998079e-55,6p21.32,7
ZNF83,3.291545984366005e-268,-0.536304115,2.5954759260303e-13,19q13.41,4
HNRNPL,3.813219046925814e-268,0.632412409,1.72038842819261e-68,19q13.2,4
TXNDC15,1.0254640886555177e-267,-0.37934256,7.179880151750691e-15,5q31.1,3
C8orf33,1.484273577433392e-267,0.798297525,2.57466427885358e-29,8q24.3,1
UBE2L6,1.7577698302193536e-267,1.098529725,7.182060210755501e-24,11q12.1,2
CHMP1B,1.8776146452431165e-267,0.16026935,0.004383021,18p11.21,1
MYH9,2.673301697090627e-267,0.262090336,0.002156029,22q12.3,33
PGP,4.897027370259325e-267,1.38090698,2.3124533325655097e-42,16p13.3,2
FAP,7.491445962329799e-267,1.098599885,4.77914060154366e-15,2q24.2,9
SAV1,1.5200144404700971e-266,-0.573213512,8.971614629917931e-15,14q22.1,3
VPS35,1.564692857763155e-266,0.321762253,8.0435261952341e-07,16q11.2,4
RNF7,2.6204827498313822e-266,0.652359206,1.6445405368330402e-20,3q23,3
ECI1,2.6210600649326568e-266,0.536306163,2.70963064273718e-07,16p13.3,2
TBRG4,3.2322758105870604e-266,1.241679158,2.15261509706653e-62,7p13,2
SLC35E3,6.599161992783575e-266,0.198906979,0.02742751,12q15,3
LSM1,8.732388718630568e-266,0.987955922,2.3977184911282095e-30,8p11.23,2
SYNM,9.265928770683323e-266,-1.771135798,1.8302596235213198e-26,15q26.3,8
LCK,2.1621049952835492e-265,1.664834763,2.5263566061717004e-32,1p35.2,6
NCF1,2.637719976695586e-265,1.454598129,1.51872294542192e-22,7q11.23,2
WWTR1,2.6629102750371143e-265,0.325365071,0.000268368,3q25.1,1
BRCC3,3.805712245399378e-265,0.71028604,7.110121753231941e-23,Xq28,5
METTL9,4.1310263093681007e-265,0.237636877,1.62476673479073e-05,16p12.2,4
TXNDC9,4.2070607082154893e-265,0.667372873,1.47008313594454e-31,2q11.2,2
ETS2,4.3389549779070007e-265,-0.716728737,2.99859237780771e-14,21q22.2,7
TADA3,5.777275324749706e-265,0.330420834,5.35230073171584e-08,3p25.3,4
PSMD1,1.0222257981144828e-264,0.557412862,5.65576438329429e-19,2q37.1,10
BCAT2,1.0691138064437028e-264,0.35553023,9.96852570366804e-05,19q13.33,6
SH3RF1,1.2304942760583759e-264,0.248816464,0.012024022,4q32.3-q33,10
RIOK1,1.3697221503482777e-264,1.138308154,2.08825000571386e-43,6p24.3,4
MRPS2,2.030672240990865e-264,0.601962508,6.51849455719779e-14,9q34.3,4
HMG20B,6.212404824844549e-264,0.883405379,4.961963597246541e-23,19p13.3,4
KRR1,9.247439336989563e-264,-0.289836037,4.65966059387571e-05,12q21.2,2
NFE2L2,2.469696722043785e-263,-0.360676895,1.15461405709634e-08,2q31.2,5
ITGB1BP1,2.54944483487195e-263,-0.899062359,2.63805135176324e-13,2p25.1,1
DRG1,5.1094812673734056e-263,0.510565592,3.49471196814965e-16,22q12.2,2
SPOCK2,1.1411496138657668e-262,1.665120799,2.3014772761467098e-33,10q22.1,2
DNAJC2,1.568297973568034e-262,1.091792189,7.73277856579861e-71,7q22.1,5
ASPSCR1,2.8587431749274296e-262,1.182680866,2.72538620816361e-37,17q25.3,3
E2F1,3.422130639396742e-262,3.376115508,1.3749210853050802e-196,20q11.22,6
TCIRG1,4.122769053310373e-262,1.334791005,6.326002613472759e-26,11q13.2,2
