Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
GALNT1,18q12.2,0.433721326,4.30414043011533e-10,8
GSPT2,Xp11.22,-0.719344607,5.73302724665152e-10,8
ZNF572,8q24.13,0.795603641,6.21604587262405e-10,8
ZNF335,20q13.12,0.340167141,7.85804101899506e-10,8
SENP1,12q13.11,0.407369287,8.27473492746194e-10,8
LRRC4B,19q13.33,-1.066442757,8.90277114474921e-10,8
RSBN1,1p13.2,-0.379187918,1.1093531617499801e-09,8
HSPA4,5q31.1,0.327591716,1.1998372914627e-09,8
ELL2,5q15,-0.596800802,1.32526603775413e-09,8
ARHGEF9,Xq11.1,0.611351313,1.5964888250100901e-09,8
TASOR,3p14.3,-0.356049199,1.77227733504349e-09,8
AP2A1,19q13.33,0.410923125,2.11327485211647e-09,8
EXOC6,10q23.33,-0.446249048,2.4581040057843703e-09,8
BTK,Xq22.1,0.754925957,2.5792470898716603e-09,8
REC8,14q12,0.765973839,2.90155111956409e-09,8
PLXNB3,Xq28,0.739403668,3.5056080202200802e-09,8
LATS1,6q25.1,-0.464713372,3.6705769351021403e-09,8
TCERG1,5q32,0.317294241,3.85077419785084e-09,8
LTK,15q15.1,1.171876006,4.743741594821511e-09,8
PSIP1,9p22.3,0.565502121,5.478274083767781e-09,8
TRPV6,7q34,1.268181991,5.58638453784205e-09,8
ZNF619,3p22.1,-0.405276551,6.822237590281731e-09,8
CLUH,17p13.3,0.530891756,7.50197544049153e-09,8
UBN1,16p13.3,0.351387167,1.02765702378753e-08,8
VCL,10q22.2,-0.47637841,1.03672111806693e-08,8
DGKI,7q33,-1.000383528,1.07502699740419e-08,8
ADAMTSL4,1q21.2,-0.975209209,1.11988448359583e-08,8
EPHA1,7q34-q35,0.76108089,1.14511256860701e-08,8
MACROD2,20p12.1,-0.630073206,1.26429670790835e-08,8
FBXL18,7p22.1,0.48703922,1.29710778101261e-08,8
ZNF445,3p21.31,-0.355084645,1.58914367663253e-08,8
ANAPC5,12q24.31,0.282295104,1.70554818666843e-08,8
FRMPD3,Xq22.3,1.166273169,1.76360152735538e-08,8
AVL9,7p14.3,0.405294072,1.8632918512718e-08,8
USP47,11p15.3,-0.41074748,1.94814769423014e-08,8
CDC73,1q31.2,0.381330808,2.2916644681605e-08,8
SGSM2,17p13.3,-0.501521731,2.60251873536884e-08,8
PIK3CD,1p36.22,0.615224651,2.71704272665257e-08,8
PCDHGB3,5q31.3,-0.741626131,2.83129765761793e-08,8
CACNB2,10p12.33-p12.31,-0.624897485,3.00641289050198e-08,8
USP13,3q26.33,0.497089438,3.31065487654286e-08,8
AMPH,7p14.1,-1.103685731,3.35917208645918e-08,8
SIGLEC6,19q13.41,-1.079026131,3.96510291579456e-08,8
SAFB2,19p13.3,0.348598778,5.11541727819081e-08,8
FAM160A2,,-0.295273777,5.43924169850925e-08,8
ZFYVE28,4p16.3,-0.493022188,5.64810707935957e-08,8
RFX7,15q21.3,-0.407241315,5.81240328538076e-08,8
GALNT8,12p13.32,-1.172627648,5.89146162627914e-08,8
SETD5,3p25.3,0.324344402,5.94046903347829e-08,8
PHF2,9q22.31,-0.303183754,6.28406662317595e-08,8
CDH6,5p13.3,-0.707468081,6.67158565464787e-08,8
NRG1,8p12,-1.389358045,7.21718969574784e-08,8
LY9,1q23.3,0.922480565,8.25123246562429e-08,8
CFP,Xp11.23,-0.824259667,9.23296332175146e-08,8
USP12,13q12.13,-0.356780931,1.1412899503373e-07,8
BOC,3q13.2,-0.732112618,1.19131946874326e-07,8
CCNT1,12q13.11-q13.12,-0.347061591,1.28439350994195e-07,8
ZNF85,19p12,0.406207241,1.28624018713623e-07,8
TRIM6,11p15.4,-0.705215395,1.32681110007946e-07,8
CCT6B,17q12,-0.505611355,1.37328020509521e-07,8
WNK4,17q21.2,-1.329411161,1.47882238246593e-07,8
CDK11B,1p36.33,0.351089886,1.53484809137739e-07,8
AEBP1,7p13,0.706985476,1.73571819124654e-07,8
EGFL6,Xp22.2,-1.368472014,1.84004139622284e-07,8
TGM2,20q11.23,0.826794866,1.95520847966961e-07,8
DHX15,4p15.2,0.282634054,2.09143964237443e-07,8
IBTK,6q14.1,-0.334226719,2.18970511143427e-07,8
ALG13,Xq23,-0.287970866,2.30943720136067e-07,8
JUP,17q21.2,0.505202019,2.5927050137204e-07,8
ITGA4,2q31.3,0.622553935,3.06229299817373e-07,8
VNN2,6q23.2,1.004992327,6.59121433877804e-07,8
ZNF804A,2q32.1,0.705336577,1.12469696455045e-06,8
CPT1A,11q13.3,-0.436912813,1.82626520446251e-06,8
ZNF518B,4p16.1,0.431425128,1.86639183538352e-06,8
ZNF799,19p13.2,-0.35361945,2.26534055108368e-06,8
DUSP16,12p13.2,-0.467280966,2.3272748249286e-06,8
ARMH4,14q23.1,-0.522467633,3.15109784190054e-06,8
AGTPBP1,9q21.33,0.462462184,3.30352298979242e-06,8
TFAP2A,6p24.3,0.761556975,4.22417113071856e-06,8
TMEM74,8q23.1,0.818622291,4.30568488374492e-06,8
TTLL5,14q24.3,0.271319724,5.31977082110805e-06,8
EPHA6,3q11.2,-0.958999071,6.32902042641429e-06,8
SH3TC1,4p16.1,0.501650862,6.55196658300308e-06,8
ESF1,20p12.1,0.280738794,6.65175969671075e-06,8
PPP3CA,4q24,-0.346089191,7.21045825706699e-06,8
CDRT1,,0.704025075,7.55491352379221e-06,8
RGS3,9q32,-0.480324647,7.89889599720275e-06,8
DHX29,5q11.2,-0.266680366,1.05328776144934e-05,8
WASHC2C,10q11.22,-0.25999275,1.15103374980259e-05,8
ERN1,17q23.3,-0.389596626,1.20166673547792e-05,8
ZNF454,5q35.3,0.489217748,1.43715064790319e-05,8
ZFP30,19q13.12,0.400116872,1.69122525327567e-05,8
CAPN2,1q41,0.386060891,1.90176301178016e-05,8
CDK11A,1p36.33,0.440934941,1.92464413833795e-05,8
ZNF770,15q14,-0.480527862,1.95057093799965e-05,8
NEO1,15q24.1,-0.449773889,1.98977820285429e-05,8
PLCXD2,3q13.2,0.557505757,2.02602426905433e-05,8
SGSM3,22q13.1,0.461720577,2.97562356326109e-05,8
HMGCS1,5p12,0.463674395,3.03841122030317e-05,8
COL8A1,3q12.1,0.735420759,3.40877637352002e-05,8
ZNF347,19q13.42,-0.314320597,3.86999433795467e-05,8
OSBPL9,1p32.3,-0.246907027,4.40950821320839e-05,8
ZNF438,10p11.23,-0.322120366,5.46519254975777e-05,8
RAI1,17p11.2,0.33539765,5.66408976740044e-05,8
PIK3R4,3q22.1,-0.228077119,5.79979615378885e-05,8
AGO4,1p34.3,-0.251610817,5.93180107988197e-05,8
GLCE,15q23,-0.319376524,6.07343886712579e-05,8
PROM2,2q11.1,0.734441711,6.19371247189314e-05,8
MTO1,6q13,0.208163303,7.03176511182973e-05,8
TASP1,20p12.1,-0.211155846,7.47137489480526e-05,8
ZNF652,17q21.32-q21.33,-0.351751645,7.69209940439906e-05,8
SMCR8,17p11.2,-0.317929149,8.2585639698822e-05,8
TF,3q22.1,-0.954146872,8.72235960561575e-05,8
L3MBTL4,18p11.31,0.506255185,9.90913893955161e-05,8
PRMT5,14q11.2,0.284974038,0.000105841,8
PPP4R3A,14q32.12,0.213072175,0.000105899,8
SFMBT2,10p14,0.471186965,0.000121472,8
NFATC3,16q22.1,-0.320910801,0.000125986,8
ZNF334,20q13.12,-0.672963066,0.000132644,8
CD1D,1q23.1,0.503973566,0.000134911,8
ADGRE5,19p13.12,0.409473334,0.000139032,8
AGT,1q42.2,0.912169721,0.00013999,8
FGF18,5q35.1,-0.727245605,0.00014027,8
USP25,21q21.1,-0.335617572,0.000145342,8
IKBKB,8p11.21,-0.266558816,0.000166188,8
RAG1,11p12,-0.454122101,0.000172915,8
ITGB5,3q21.2,-0.444634031,0.00017646,8
EFHC2,Xp11.3,0.601310925,0.000208432,8
ENG,9q34.11,-0.407392241,0.000248693,8
CLCN4,Xp22.2,0.588861154,0.000263234,8
GRIP2,3p25.1,-0.52234097,0.000286005,8
LNX1,4q12,-0.374678845,0.000295763,8
CHN1,2q31.1,0.376645992,0.000296294,8
USP28,11q23.2,0.279523551,0.000302931,8
AGO3,1p34.3,-0.222039606,0.00032365,8
PAM,5q21.1,-0.391645029,0.000352835,8
CCDC87,11q13.2,0.38971479,0.000366227,8
DENND2B,11p15.4,-0.358580867,0.000394849,8
SOGA1,,0.24110256,0.000396627,8
SPPL3,12q24.31,0.209487667,0.000401706,8
IQCA1,2q37.2-q37.3,-0.658987993,0.000408504,8
PEX5L,3q26.33,-0.541826015,0.000520378,8
ABCB6,2q35,0.357204899,0.000560748,8
DOK5,20q13.2,0.575634093,0.000845913,8
SSH2,17q11.2,-0.347433356,0.000851531,8
ATP6V0A4,7q34,0.806222778,0.001004101,8
GLT8D1,3p21.1,-0.16028406,0.001063741,8
DPYSL3,5q32,-0.362406831,0.001085359,8
FMO4,1q24.3,-0.368297309,0.001175228,8
FGD2,6p21.2,0.454897879,0.001180219,8
UCP2,11q13.4,0.397515002,0.001385995,8
KBTBD4,11p11.2,-0.195813571,0.001567015,8
TUBGCP5,15q11.2,-0.183884089,0.001577963,8
DDX60,4q32.3,0.401054554,0.001700758,8
FXR1,3q26.33,0.243864328,0.001791497,8
CCDC171,9p22.3,-0.264354823,0.00226035,8
SLC6A14,Xq23,0.810678587,0.002282803,8
MCF2L2,3q27.1,0.486923191,0.00254714,8
GABRG3,15q12,0.899831816,0.002587826,8
WDR6,3p21.31,-0.239959097,0.002604002,8
BANK1,4q24,-0.6769967,0.002785244,8
MAGEE1,Xq13.3,-0.262524515,0.00337016,8
PIK3CG,7q22.3,0.384537265,0.003464075,8
FLYWCH1,16p13.3,-0.248962166,0.003507655,8
SMARCA5,4q31.21,0.164531402,0.003715528,8
GAPVD1,9q33.3,-0.186139199,0.00379284,8
POLR2A,17p13.1,-0.161129441,0.004065788,8
ZNF470,19q13.43,-0.213835606,0.005021758,8
USH1C,11p15.1,0.722425656,0.005749752,8
MORC4,Xq22.3,0.286408856,0.006050397,8
TEC,4p12-p11,-0.212287152,0.006473129,8
VPS35L,16p12.3,-0.177113629,0.006819336,8
ACAD10,12q24.12,-0.151756811,0.007880425,8
PDS5A,4p14,0.159431906,0.008699235,8
ZNF518A,10q24.1,-0.221233016,0.008879143,8
OXR1,8q23.1,-0.238619492,0.008994778,8
ZKSCAN4,6p22.1,0.163237226,0.009442991,8
GDF9,5q31.1,-0.341680459,0.009595097,8
ZNF148,3q21.2,-0.162548737,0.009738013,8
VWA3B,2q11.2,0.455966225,0.009987745,8
DDX43,6q13,0.64908389,0.010219774,8
ZNF233,19q13.31,0.309925175,0.01307569,8
TET2,4q24,-0.203782642,0.013166207,8
TTLL7,1p31.1,-0.375338174,0.015852703,8
ZNF486,19p12,-0.376621787,0.016714124,8
PLA1A,3q13.33,0.398056586,0.017555914,8
LILRA1,19q13.42,-0.331041877,0.017683268,8
SFI1,22q12.2,0.214716336,0.02106348,8
XPO7,8p21.3,0.147596192,0.021359569,8
ATP13A5,3q29,-0.619101441,0.021701757,8
PRRX1,1q24.2,-0.292601695,0.025621767,8
WAC,10p12.1|10p12.1-p11.2,0.120993925,0.028089021,8
TPP2,13q33.1,0.15337164,0.028443195,8
ACP3,3q22.1,0.377922649,0.031252383,8
SDR16C5,8q12.1,0.612512275,0.031643851,8
ZNF816,19q13.41,0.153136635,0.032487102,8
FSTL4,5q31.1,0.503468015,0.033404616,8
KIAA0586,14q23.1,-0.135963234,0.039288131,8
MMP16,8q21.3,0.423632022,0.040680633,8
SLC38A9,5q11.2,-0.137614461,0.041333517,8
SYNJ2,6q25.3,0.218563136,0.042509976,8
NEBL,10p12.31,-0.311039138,0.043048973,8
IL1RAP,3q28,0.23873198,0.046630314,8
RIN2,20p11.23,-0.157276212,0.047179759,8
HOOK3,8p11.21,-0.16604625,0.04896477,8
GTSE1,22q13.31,4.15305194,2.02353228782373e-240,7
BUB1,2q13,4.410578132,8.638048348155641e-236,7
FOXM1,12p13.33,4.730847868,1.29689936797598e-235,7
ANLN,7p14.2,4.514856123,3.2739865043657296e-228,7
DEPDC1,1p31.3,4.354385256,7.98804873197972e-209,7
KIF18A,11p14.1,3.361089543,2.17242229377027e-200,7
CLSPN,1p34.3,3.947627365,1.33067660312787e-199,7
KIF15,3p21.31,3.429644901,3.29199011252942e-197,7
RAD54L,1p34.1,3.766176769,2.94796509774413e-185,7
ZNF695,1q44,4.584250996,1.4249783007089e-171,7
DONSON,21q22.11,2.190255479,6.92028680132756e-168,7
ORC1,1p32.3,3.45286126,6.43474891646562e-165,7
CAVIN2,2q32.3,-4.714672803,1.13674760253441e-164,7
CA9,9p13.3,6.532211084,1.2775498950408201e-151,7
PLK4,4q28.1,2.417368718,6.96660909618549e-146,7
TUBA1C,12q13.12,2.019030961,8.8672793370015e-146,7
LRP8,1p32.3,2.708939055,1.07668920015044e-144,7
ARHGAP20,11q22.3-q23.1,-3.594816992,3.37917590778452e-142,7
ILF2,1q21.3,1.718419385,6.765462770526059e-140,7
KLB,4p14,-5.155115767,5.05885071124225e-138,7
AOC3,17q21.31,-4.529207437,4.61166867458895e-131,7
ATP1A2,1q23.2,-6.571724399,1.3824381729555799e-128,7
TNS1,2q35,-3.456921139,1.83485668416613e-127,7
KL,13q13.1,-3.169766018,3.49545045324519e-120,7
INHBA,7p14.1,3.109535739,2.50383256081131e-119,7
RBMS3,3p24.1,-2.622419817,5.809343095673931e-117,7
CALCOCO1,12q13.13,-1.542357555,1.3422921591756402e-110,7
C1orf112,,1.904361248,5.03508836385963e-110,7
ELAVL1,19p13.2,0.991163385,5.96368277051311e-110,7
CHEK2,22q12.1,1.687752963,1.52270160471538e-104,7
CEP68,2p14,-1.348698411,4.12332639655757e-104,7
CKAP2,13q14.3,1.972032451,5.03511004678993e-103,7
FANCB,Xp22.2,2.008681399,8.46636791144333e-100,7
NCAPD2,12p13.31,1.855426438,1.79663605820846e-98,7
WDHD1,14q22.2-q22.3,1.825636526,2.5219310833728703e-98,7
NKAPL,6p22.1,-2.883579727,1.65425539228476e-97,7
UBQLN4,1q22,1.419070252,3.6980104713988103e-97,7
SH3D19,4q31.3,-2.389080812,1.29008696233867e-96,7
CCDC178,18q12.1,-3.571548551,2.24157621048939e-96,7
SHMT2,12q13.3,1.535072021,5.60922219679268e-93,7
GBP5,1p22.2,3.906704037,7.397251383208291e-91,7
CHAF1A,19p13.3,1.653258354,2.11470690986306e-88,7
ALDH18A1,10q24.1,1.239478785,2.42936085192095e-87,7
MTBP,8q24.12,1.84045453,1.34459330797576e-86,7
CREBRF,5q35.1,-1.485162933,3.06922903299048e-86,7
MYCT1,6q25.2,-2.315259493,1.39539004108314e-80,7
ITIH2,10p14,-4.37230601,1.20771017170318e-77,7
MARS1,12q13.3,1.004722282,1.5112992826540498e-77,7
SLCO5A1,8q13.3,3.735678199,7.977616733180619e-77,7
CFAP69,7q21.13,-1.973649623,4.88598376897159e-76,7
INMT,7p14.3,-3.155175728,9.321135236071771e-76,7
PTDSS1,8q22.1,1.281010127,1.6928816343691002e-75,7
SPARCL1,4q22.1,-2.343094419,1.84346402486104e-75,7
GPC2,7q22.1,3.280658343,2.1415426899456901e-75,7
CSE1L,20q13.13,1.150338799,8.49501687775947e-75,7
PCK1,20q13.31,-5.897327617,2.69278795740018e-73,7
PJA2,5q21.3,-1.235035201,3.49984350037958e-73,7
NEK9,14q24.3,-1.038038666,4.4079577114824704e-73,7
C20orf194,,-1.331829293,1.51225147702179e-72,7
POLA2,11q13.1,1.627069325,2.00877612743261e-72,7
HNRNPA2B1,7p15.2,0.774489266,2.82699804064021e-72,7
SEMA6D,15q21.1,-2.664086746,2.51362054152461e-71,7
MORC2,22q12.2,0.998357776,3.69933176649303e-71,7
TDRKH,1q21.3,1.491166048,6.39369680253573e-71,7
CLCN6,1p36.22,-1.126216806,2.6414433245816897e-69,7
CHTF18,16p13.3,2.129496325,2.3863206736259002e-68,7
ROBO4,11q24.2,-2.030170209,3.7026185907254203e-68,7
STAT5B,17q21.2,-1.268212074,1.2329529392395401e-67,7
NR3C2,4q31.23,-2.271967439,3.9118144646147206e-67,7
USP39,2p11.2,1.003162255,3.68995005074394e-66,7
GPC3,Xq26.2,-3.361169985,1.77555274925171e-65,7
SEC61A1,3q21.3,1.059680774,5.4844558381025406e-65,7
BTD,3p25.1,-1.466272579,2.67492869837769e-64,7
BUD23,7q11.23,1.122973121,4.17860081559999e-64,7
EHD2,19q13.33,-2.272143879,1.84441829499603e-63,7
ADCY4,14q12,-2.021036773,7.40662149551432e-63,7
ADRA1A,8p21.2,-4.211676297,1.71788828089499e-61,7
PRPF3,1q21.2,1.099045336,1.75320142478533e-61,7
RAD21,8q24.11,1.415460373,2.0016049987189902e-61,7
UBE2O,17q25.1,1.00880752,1.44084186765635e-60,7
NAALAD2,11q14.3,-2.669265691,1.1881979142907002e-59,7
RPS6KB2,11q13.2,1.172126166,8.02921180148988e-59,7
RFX5,1q21.3,1.233643715,1.71778405828343e-58,7
IL11RA,9p13.3,-1.442796681,2.6115157680614902e-58,7
OASL,12q24.31,2.589326316,2.2808376344732298e-57,7
ZIC4,3q24,3.624473993,5.60126881238286e-57,7
ZNF483,9q31.3,-1.830236471,1.57866651083944e-56,7
IPO9,1q32.1,0.855539708,4.29975223244767e-56,7
NOL10,2p25.1,0.948372513,9.03370338701098e-56,7
UNC13D,17q25.1,2.16280394,1.6935805400926497e-55,7
ZDHHC17,12q21.2,-1.021955599,2.08778410483732e-55,7
CACHD1,1p31.3,-1.747433222,3.93514791840989e-55,7
WDR46,6p21.32,1.046154097,9.272626314998079e-55,7
MAZ,16p11.2,1.185621625,1.60469976633684e-53,7
VANGL1,1p13.1,1.094990201,4.10050874395321e-53,7
CPSF3,2p25.1,1.022310812,4.93999818808029e-53,7
IQUB,7q31.32,-2.15691757,1.36008696436672e-52,7
SLC25A13,7q21.3,0.960683086,1.4903226369637e-52,7
TBC1D22B,6p21.2,0.834833972,1.5705943378901402e-52,7
B4GALNT1,12q13.3,2.410390522,2.89112731482652e-52,7
PTPN21,14q31.3,-1.381198438,5.33662795108322e-51,7
SCRIB,8q24.3,1.488666659,9.58545221699694e-51,7
ARID4A,14q23.1,-1.039429622,1.23112565289102e-50,7
TPCN1,12q24.13,-1.027131393,2.55161072287995e-50,7
CMAS,12p12.1,1.113045764,3.40714147328114e-49,7
DARS2,1q25.1,1.216237962,1.0147949257853101e-47,7
FER,5q21.3,-1.136312339,7.42844367347163e-47,7
LSG1,3q29,0.791179466,1.74936613460923e-46,7
ABTB2,11p13,1.887202268,1.88119692757233e-46,7
PRR14,16p11.2,0.839870495,1.0845161674902501e-45,7
FDPS,1q22,1.101633319,1.22004139671579e-45,7
ACTG1,17q25.3,0.909740978,2.2136372459882302e-45,7
CHML,1q43,1.666234136,2.53805907108796e-45,7
MSL3,Xp22.2,0.712729101,3.90106251102553e-45,7
MYRIP,3p22.1,-2.716953375,4.63624295522459e-45,7
GTF2IRD2,7q11.23,-0.998114038,1.6112872555486901e-44,7
SYNPO,5q33.1,-1.914427086,2.91257164503853e-44,7
GTF2IRD2B,7q11.23,-0.92329751,2.92699602035716e-44,7
TRAF7,16p13.3,0.915182805,4.3249959690408605e-44,7
RRP12,10q24.1,1.067056078,1.0045179655905e-43,7
PLCB3,11q13.1,1.064174596,2.03723383998642e-43,7
SETD7,4q31.1,-1.383791671,2.1951239052265297e-43,7
DCP1A,3p21.1,-0.726262514,2.56438572186753e-43,7
WT1,11p13,3.935382925,6.88848638069053e-43,7
NDST1,5q33.1,-0.814550758,8.97750129534395e-43,7
PDE1A,2q32.1,-1.717738637,1.3375235532466598e-42,7
BMP3,4q21.21,-3.876767688,2.0666170438447098e-42,7
PNPLA7,9q34.3,-1.802968965,3.91265170718316e-42,7
NELFCD,20q13.32,0.782120895,1.25707422841764e-41,7
SCUBE2,11p15.4,-2.922078576,1.34809946399053e-41,7
FCGR1A,1q21.2,2.079033446,1.58941578225597e-41,7
RANBP17,5q35.1,1.447975731,7.74184106985574e-41,7
SCML2,Xp22.13,1.658679724,7.85818189367066e-40,7
GIN1,5q21.1,-0.725657575,1.46496328251872e-39,7
KIAA1328,18q12.2,-0.77053435,1.4679194478692701e-39,7
KHDC4,1q22,0.913741106,2.54349029719597e-39,7
NOL11,17q24.2,0.798100202,5.04551097370368e-39,7
SLC16A2,Xq13.2,-1.31159775,5.8614430651391003e-39,7
VSTM4,10q11.23,-1.812175181,1.03037768991975e-38,7
DDX11,12p11.21,1.441540997,2.33085354695955e-37,7
MCC,5q22.2,-1.416097414,4.22783128554731e-37,7
TRPC1,3q23,-1.242554791,4.89180392834553e-37,7
IFIH1,2q24.2,1.458579341,1.0828822025424e-36,7
TBC1D1,4p14,0.835268716,1.37122410390719e-36,7
CCDC142,2p13.1,0.778843715,2.00007940353933e-36,7
PRUNE1,1q21.3,0.836168024,2.9603661191054897e-36,7
NIBAN3,19p13.11,2.816811394,3.12317978984111e-36,7
EPB41L4A,5q22.1-q22.2,-1.514463794,3.19612169659335e-36,7
SLC24A1,15q22.31,-0.881102104,4.2556652442559395e-36,7
IRAG1,11p15.4,-1.415774487,2.35393094010173e-35,7
CAPN3,15q15.1,-1.61079895,2.8512716195708603e-35,7
COL11A2,6p21.32,2.623440265,5.42599687962482e-35,7
TTI1,20q11.23,0.677230331,6.163525127688871e-35,7
SP140,2q37.1,1.918525944,1.0015875042106e-34,7
UBAP2,9p13.3,0.807772906,1.1246516439682699e-34,7
ZNF676,19p12,-2.548436744,1.2957106366372199e-34,7
CHRM3,1q43,2.546674265,1.54548767775132e-34,7
ACSL6,5q31.1,2.768405399,2.28818744657264e-34,7
RBM15,1p13.3,0.627188833,9.77197875058048e-34,7
ADAM15,1q21.3,1.102347621,1.10517798473503e-33,7
CRACD,4q12,2.429870276,2.46482909943129e-33,7
SOX5,12p12.1,-2.194610078,2.92460254126748e-33,7
DCT,13q32.1,-2.658768957,3.09400962261707e-33,7
ALPK3,15q25.3,-2.15837243,4.42629244497983e-33,7
CEP131,17q25.3,1.487024732,5.4619675244415e-33,7
IMPDH1,7q32.1,1.121079096,8.53950445457034e-33,7
TAF5,10q24.33,0.829374198,8.64005665544192e-33,7
MOAP1,14q32.12,-0.668113391,1.11592941967655e-32,7
SLC7A3,Xq13.1,-3.404242832,1.54677459266544e-32,7
PGR,11q22.1,-3.19015173,1.95642072922612e-32,7
TBCC,6p21.1,1.095862835,4.78828475084919e-32,7
CTC1,17p13.1,-0.716758095,4.2304907270634e-31,7
MICALL1,22q13.1,0.989830899,1.3563272146883e-30,7
LBR,1q42.12,0.955519214,1.69281488657158e-30,7
TDRD10,1q21.3,-1.825712812,1.95021137269719e-30,7
IL1R2,2q11.2,2.141924346,2.4183423243593298e-30,7
NSDHL,Xq28,0.833278118,2.7893621192091798e-30,7
CDK17,12q23.1,-0.668859061,3.17933005260067e-30,7
EML4,2p21,0.78060413,3.3352546663417e-30,7
MON2,12q14.1,-0.789311859,4.7128358730804e-30,7
SLC16A1,1p13.2,1.478984679,9.887567696182839e-30,7
MARK2,11q13.1,0.764730637,1.56881532073346e-29,7
HNRNPK,9q21.32,0.349651195,2.1737939980723998e-29,7
EPS8,12p12.3,-1.258806886,2.25085044882916e-29,7
ZNF777,7q36.1,0.720014698,3.15474861861292e-29,7
NGEF,2q37.1,1.674388239,1.2387281009981e-28,7
SLC12A9,7q22.1,0.814324104,1.73550318831658e-28,7
NOL6,9p13.3,0.597603619,5.87812534766994e-28,7
WDR75,2q32.2,0.680618721,1.13405121032591e-27,7
ATP13A2,1p36.13,0.830164405,1.47399454682485e-27,7
DENND2A,7q34,-1.648574138,2.07085014539532e-27,7
NDNF,4q27,-2.371823057,2.1709286940751e-27,7
AGO2,8q24.3,0.932743157,2.92709892591797e-27,7
FAM98A,2p22.3,0.725209601,3.84952462823189e-27,7
SCYL1,11q13.1,0.682684464,4.71990240875277e-27,7
FAM83A,8q24.13,3.090046963,9.00369627932202e-27,7
DNAJC6,1p31.3,1.614299255,1.88561171959665e-26,7
PROX2,14q24.3,-1.508832241,1.9932325951098898e-26,7
GNL3,3p21.1,0.563867263,2.87943865789053e-26,7
ZNF286A,17p12,0.934151213,8.17838037447983e-26,7
EPHX4,1p22.1,1.758432723,1.46124041510951e-25,7
JADE2,5q31.1,-0.988386763,1.6184661223571402e-25,7
MOCOS,18q12.2,1.243178034,4.76197521957026e-25,7
PCDHB15,5q31.3,-1.311094416,7.030281668344921e-25,7
TTBK1,6p21.1,1.716464289,1.82738564267598e-24,7
KRAS,12p12.1,0.807958831,1.84268290032993e-24,7
CD93,20p11.21,-1.175928863,2.18040948905141e-24,7
IKZF3,17q12-q21.1,1.604423496,4.42279587910657e-24,7
UAP1,1q23.3,0.84062119,4.86483428610651e-24,7
ZNF160,19q13.41-q13.42,-0.593037179,6.37312796922879e-24,7
CEP85,1p36.11,1.106289878,6.77939753041458e-24,7
CHRD,3q27.1,-1.225039559,1.0585990302201601e-23,7
DPYD,1p21.3,-1.171294082,2.9266676385940904e-23,7
RGS20,8q11.23,1.9203094,4.7201994320565703e-23,7
HELZ2,20q13.33,1.161600911,4.9441470074920504e-23,7
ASPH,8q12.3,-1.249997393,5.0512619164165904e-23,7
PPP2R1A,19q13.41,0.579712263,6.07638209761807e-23,7
MAST2,1p34.1,0.805718892,7.50557913382832e-23,7
KRT9,17q21.2,2.586965361,9.995385387786221e-23,7
ZNF692,1q44,1.024967866,1.64691960435957e-22,7
COL25A1,4q25,-1.895311022,2.38937592415391e-22,7
HNRNPR,1p36.12,0.453201427,2.39441434815147e-22,7
MEIOC,17q21.31,1.63297573,4.72222271303833e-22,7
STXBP2,19p13.2,1.135083799,1.0874654023883701e-21,7
STAP2,19p13.3,1.268938585,1.48901226653327e-21,7
RNF182,6p23,2.054231496,1.57821381730199e-21,7
YY1AP1,1q22,0.515728516,1.89428744437215e-21,7
KPNB1,17q21.32,0.492802655,2.18311407647846e-21,7
LYN,8q12.1,0.962071149,2.81290977554758e-21,7
EPHB4,7q22.1,0.75207431,3.12869654794351e-21,7
ERMAP,1p34.2,-0.621718353,4.54192436772866e-21,7
SLC44A2,19p13.2,0.732687005,5.2394853480433e-21,7
VWCE,11q12.2,-1.41836122,5.8963582572407105e-21,7
TRA2B,3q27.2,0.370949587,7.96993543425995e-21,7
EPS15L1,19p13.11,0.435032275,8.23250525411779e-21,7
WWC2,4q35.1,-1.056000189,9.46068496705003e-21,7
PKN1,19p13.12,0.882229273,1.04685163911791e-20,7
DDX55,12q24.31,0.563943241,1.7131049004043102e-20,7
SYT9,11p15.4,-2.354158756,3.09232674408838e-20,7
IVNS1ABP,1q25.3,0.680847332,3.52322227297664e-20,7
SUSD4,1q41,1.609530406,5.72803210708331e-20,7
PM20D1,1q32.1,-1.638473988,8.36011553405462e-20,7
BROX,1q41,0.615766455,9.80876498266455e-20,7
HIPK3,11p13,-0.828636074,2.6524556762398303e-19,7
H1-2,6p22.2,1.609846219,2.68010589978892e-19,7
BTBD7,14q32.12,-0.582353199,2.9399958777110903e-19,7
PABPC4,1p34.3,0.675130024,3.06623171011648e-19,7
ZNF496,1q44,0.682882408,4.1331929097867504e-19,7
THOC1,18p11.32,0.609046039,6.00778351152149e-19,7
ZBTB20,3q13.31,-1.450699153,9.7694735562679e-19,7
NKTR,3p22.1,-0.675952351,1.05108642694867e-18,7
CADM3,1q23.2,-1.954613661,1.31768248680501e-18,7
DZIP3,3q13.13,-0.548639715,1.545743155339e-18,7
HPD,12q24.31,-2.012998535,2.03480932669321e-18,7
NHLRC2,10q25.3,-0.582001712,2.52142271749148e-18,7
BAIAP3,16p13.3,-1.336853505,2.8756736997602197e-18,7
CCDC191,3q13.31,-0.696435472,2.95078678105886e-18,7
